"screen_name","text"
"Concern11711115","@Girish_cbe @callumjodwyer They are concerned about the vaccine causing cytokine storm. This has led to death in one US patient just under 30 days from last symptom on 1st Vax. that I know of. Your issue is immune over response. Water all day, tumeric, anti-inflammatory diet. You will get through. <U+0001F49D>"
"amelioratrix","@Poetron5000 @Sycorax7 Ha! I think they're more anti-union, because the Federation didn't oppose the vaccine mandate"
"ecowrite","@fileckert @PatsKarvelas @ASIOGovAu @HighCourtofAus Absurd video. Having lived under the dictatorship of the apartheid government, I find this anti-vaccine propaganda video from Australians bizarre and untrue. Especially odd as the government is actively targeting environmental protesters, not the anti-vaccine mob."
"BFriedmanDC","Climate change, population growth, increasing economic disparities and a global shift toward anti-intellectual fascism are really helping to move this along https://t.co/M6ItOWFq4h"
"EricWesselow","@CurvyWolf I don't want vaccine mandates because it's just going to make anti-vaxxers extra anti, shits not gonna lead to more vaccinated people"
"gilljrus","@fishnbaja1 @DouglasDavisRN @mkarolian @WHCOVIDResponse Excess of ignorance is submitting kids to the vaccine. Based on the effectiveness, last year's definition of vax would disqualify it as a vax (it is a therapeutic at best). Last year I wasn't an anti-vaxxer, but adding anti-mandate to the definition fixed that. Education!"
"shaneellall","Please be kind to hospitality workers. If they arenâ€™t asking for you to present a vaccine passport, it is likely they have been abused at worker by pathetic customers. Anti-vaxxers have been violent, and they are targeting hospitality workers, mostly young people on their break."
"ProZombieHunter","@ZealDemon @RightWingCope having an immune system doesn't make you immune from a virus.

also, he's not a patriot, he's anti-American, and so is anyone who is anti-vaccine."
"ncalsuz","@JDCopelaw @DerekMorgan2020 @callumjodwyer @exceedhergrasp1 Thai doesnâ€™t add up. You canâ€™t have long Covid without testing positive. Myocarditis from vaccine sounds right for a teen but should be very treatable and resolve quickly. Me thinks your an anti something making some stuff up or he indeed had Covid not a vax reaction"
"NReveillee","@WildPalmsLtd Not surprising at all. Misinformed &amp; those gaslighted by Fox, Trump &amp; GOP acolytes believe the anti vaccine, anti mask &amp; anti crowd avoidance prevention techniques will contract Covid19 &amp; a % will die"
"brandyheartsyou","People that promote anti vaccine publishingâ€™s and then post go-fund-meâ€™s for their relatives with COVID are fucking hilarious"
"smarzeli","@BeckyJaneO @Proody6666 Ok, but you'd be wrong.  The medical community has been blaming anti-vaccine conspiracy theorists for the spread of disease going back 100 years now, and the data is on their side"
"Tufftruth","@GOPChairwoman The hypocrisy of Trump's GOP is astounding... but keep it up please. Darwinism make be slow moving but it moves... the VAST majority of those dying of COVID are  those who believe GOP lies. Those are some votes you won't get.

https://t.co/nwvKkgYiw3"
"BernieGarrett","Chiropractors' association 'appalled that the profession still champions the slight rearrangement of the position of bones over vaccines. Who would have thought? https://t.co/jrisZj40ZY"
"notincomunicado","@JasminBuffy1255 Here's an article about his anti-vaxxer crusade.
https://t.co/vflawqoD91
Until recently he was the most powerful ally the anti-vaxxers had in government. Now that the Republicans made vaccines political that's changing."
"pillairr","@jitengajaria Agenda 4 booster dose &amp;to kill anti vaccine sentiments this fear is spread with impunity. Suddenly death figures may be manipulated too to heighten this fear feelings. Incentivising to vaccinate is a positive way to change ppls attitude towards vaccination. Rich World shud help."
"abrams_thabang","@chestermissing Stop inciting violence 
Stop discriminating us 
It remains your personal choice to vaccine 
Soon you wil regret calling God s people anti-vaxxers"
"007__NIL","@mcspocky This could / should be significant - and it's telling that Mitch McConnell has distanced himself from the anti-vaccine crowd - love him or hate him - he thinks through the positions he takes"
"VBlair10","@joncoopertweets I donâ€™t see it stopping. Everyone will get the virus, those of us with the vaccine will be affected mildly if at all, anti vaxxers will end up sick or dead. Anti vaxxers are allowing the virus to mutate. How this ends I just donâ€™t know"
"FeralChristineB","Oh cool, a Grande Prairie anti-vaccine Karen at the mall. 

https://t.co/3t2vFT34MY"
"preachingterp","Paul Krugman argues the GOP is 'pro-COVID' and is trying to 'keep the pandemic going' #SmartNews  https://t.co/hAKCtKpWdi"
"Frank46800732","Mayor bell calls me anti vaxxer because I asked him a question. For a man who cares about the proper spread of information regarding the vaccine, why is he throwing this out like an random Insult? I am fully vaccinated and I am <U+0001F4AF> in support. This is our mayor!! @MayorofIqaluit https://t.co/502oaKJSax"
"TP_UKMingeLane","@HlHumbert @VVichelangelo @KD2NFC @stantjaden @BernieRacer31 @GovRonDeSantis Then why bother with any vaccine or anti microbial if human immune systems are â€œbetterâ€?"
"TP_UKMingeLane","@HlHumbert @VVichelangelo @KD2NFC @stantjaden @BernieRacer31 @GovRonDeSantis And why do we need ANY vaccine or anti microbial if human immunity is better ?"
"IsmoFidel","@societyofhonor OCTA for me is a suspect organization. It came from nowhere, used UP tie up as cover, claimed Manila as best prepared for lowered anti Covid measure, came out with an interesting survey, and now, an OP scientist priest working on vaccine and saying Duque is doing fine. Wow..."
"nofeltweaver","@AndrewJ31046657 but they may not be antivax, they might be anti mandate.
how could we force s so called vaccine on people that are already.immune compromised?
its only covid."
"zyterix_","@drewlbers if you are referring to covid deaths as ""innocent deaths"" you clearly haven't seen how nearly every other country handled it, the US far-right has a culture of being anti-vaccine, anti-gun control, and anti-mental health support."
"KayleexScott","So far, with this pandemic, I think my favorite conspiracy from anti-vaxxers is the vaccine being made from stem cells of aborted fetuses, like yâ€™all really have capped"
"EmofallTrades","@karenvaites I am shocked that I am considered an â€œAnti-vaxxerâ€ because I oppose mandating a newly developed vaccine. https://t.co/jED1rBJPjd"
"PKFLRDA","How anti-vaccine activists and the GOP are growing closer - NPR https://t.co/YBIpVeiXpa via @GoogleNews - @AP @cnnbrk @maddow @LeaderMcConnell @GOPLeader @SenSchumer @SpeakerPelosi"
"jasonhuang1983","@Thanosnutbuster @orikron @nytimes Somehow they found the third option: anti Chinese vaccine"
"ta06","@emadguirguismd @BLNewsMedia @DrP_MD A teenager is allowed to consent to a vaccine, especially if their parents are dogmatically anti-vaxx and anti-science. Canâ€™t be held hostage by your parentsâ€™ harmful belief system."
"DrEricJenkins","@colemankane @ChrisCinciBiz Dewine is? I donâ€™t think so. And even if he does, I have heard a lot of anti vaccine types say they will never vote dewine"
"AlyaFlo","Rep. Lee Zeldin Rips Bill de Blasioâ€˜s NYC Vaccine Mandate https://t.co/wz92N6CuSc via @BreitbartNews"
"bbcamericangirl","@thummprints Getting boosted tomorrow. [In the meantime, a colleagueâ€™s anti-vaccine high-risk husband brought home COVID to her. They went to the hospital Saturday. (My colleague is vaxxed, but WTF?!? She has a high risk kid too!)]"
"Crispr21","@DennyProchaska @JimRenacci He doesnâ€™t say anything about ridding the country of covid in 100 days, does he? Again, the anti-mask and anti-vaccine idiots were actively working to render his wishes moot."
"rep4bettergovt","Paul Krugman argues the GOP is 'pro-COVID' and is trying to 'keep the pandemic going' - https://t.co/MIcAymWwXa https://t.co/78irGoqwdK"
"nicinthawoodz","Itâ€™s a special type of rage seeing the anti vaxxers outside the kidsâ€™ vaccine clinic today #CityOfPG https://t.co/BByLxuP6Cv"
"ZeldaKrup1","@wilma_wilma30 Idaho's rank stems from the intense anti-vaccine movement in the Panhandle."
"Yohawk6","@Jim_Jordan you know thatâ€™s a lie. They want to get rid of covid infections that kill so we the people can have some dang normalcy meanwhile yaâ€™ll prolonging this virus spread and killing your voters with your antimask and anti vaccine when all of you are vaccinated."
"FrawleyMotat","Wow and the anti -vax/anti-COVID requirements brigade wonder why they get little support!  There is no excuse for bullying people who are trying to do their job. Covid 19 coronavirus Delta outbreak: Man rants at Subway over vaccine mandate 
 https://t.co/k83PlQvTST"
"paul_s_casey","Unfollow anti-vaxxers.
Hell, block 'em if you want to. (I do.)
You can even search for ""vaccine"" and related terms, sort by people you follow, and see who is spouting harmful misinformation on your TL."
"schroedinbugg","@revelation_free @Aquamariah1 @whp1991 @gimmeachanc3 @AngeliaDesselle @cgtrulock You're allowed to not get the vaccine, my dude. Just don't try to spread propaganda, it's literally so easy not to spread anti-science propaganda. Like you can just, not lie :^)
You know lying hurts other people right? Or do you not believe in basic empathy either?"
"oaklleiigh","vic deals is crazy onto misinformation about vaccines etc, as well as trolling n what not but the nelson community group is like â€œhey hereâ€™s a get together for everyone vaccine injured, anti vac where we can all hang out and talk ab how stupid we areâ€ and thatâ€™s justâ€¦ ok"
"NoahMervine","@eGOmarine 'Vaccine mandate' isn't at gunpoint
Masks save others' lives...you chose reckless endangerment of others?
Banning CRT is anti-school-choice
2nd says 'well regulated...'
Capitalism and socialism co-exist
Raising taxes means poor people have more choice"
"adiyendasan1977","Nobody in their right mind is Anti Vaccine without a Good Reason:
Death, Stroke, Paralysis, Heart Attack, Auto immune disorder, Alzheimerâ€™s, Autism, Fibromyalgia, CNS disorders, many more.
But, DEATH post jab should STOP even the most trusting gullible goop, from jabbing! https://t.co/rKym6NnSU2"
"RalphBerriosMo1","I found this on NewsBreak â€“ the #1 local news app used by 45+ million people: Vaccine hesitant man changed his mind over the Covid-19 vaccines when he ended up in hospital, his anti-vax wife lost the battle with the virus 
https://t.co/byVP4IxEcZ"
"Megawatts55","MS hospital fires doctor, anti-vaccine leader for treating COVID patients with ivermectin https://t.co/DBGmZ25dDb"
"DaleBurnay","@raptorgirlSK Did Scott Moe have a chance to call Dr. Tootoosis, or was he too busy taking to an anti-vaccine, hospital harassing, Buffalo Party supporter instead?"
"DaleBurnay","@Carla4Lakeview Probably by ""both sides"", the Premier means the anti-vaccine and the anti-mask crew??"
"IAMWRITE","@SykesCharlie @davidfrum It is frightening when a person of your intellect labels those who do not want THIS vaccine as anti-vaxxers, especially since many have had their childhood vaccines. Please, for all of us, do better.
https://t.co/lS1agt0azs"
"Jane_Plain_Doe","It is hard to see how a GOP increasingly dedicated to needless death can carry an antiabortion message. 
How can the anti-vaccine ideals of â€œmy body, my choiceâ€ Republicanism â€” which refuses even the easiest and safest sacrifices to protect the life of a neighbor â€” 1/2"
"renissance_1","Whatâ€™s Really Behind Global Vaccine Hesitancy - The Atlantic https://t.co/BwD2J1DIQX"
"H2Ninja","@D_LittleproudMP Anti Stupid Vaccine not working https://t.co/2guTYeIFmG"
"anna99888538","@doritmi Yes we are anti vaccine. Deal with it - itâ€™s a free world and you canâ€™t force other to compromise their health for you. And most of those stupid posts are done by your side to attack those that donâ€™t like covid vaccine"
"_H_H_I","@HindieBD @hackgeneman @theotherbrothe6 @PeterHotez @NPR You mean when Kamala said she wouldnâ€™t trust a Trump vaccine? And Biden also spoke of his vaccine distrust? <U+0001F644>

1st article that came up on Google. 

https://t.co/sWqIdiLVC0"
"Kalidog4","@CryanGrim He's anti-vaccine, so a theory that says vaccines don't work fits his theory, and sells books to people who are anti-vax."
"BKYoungDems","The party is not in a good place. In last monthâ€™s election, a Trump-endorsed GOP candidate won the 48th district in a landslide; a QAnon candidate almost won in Coney Island; and our friend CM Justin Brannan came within a hair of being defeated by an anti-vaccine extremist."
"Aimee_Arti","@CryanGrim @SLCSocialist No. I would never downplay anyone's health problems. Too much anti vaccine nonsense on Twitter."
"scheib_gary","@LouisianaGov @Cleavon_MD Because they used those Jewish space lasers to zap away the vaccine, their internal tracking devises &amp; the alien fetuses crawling inside every vaccine recipient. Very clever those anti vaxers! https://t.co/RYQFTVJ4UL"
"mymom07","Paul Krugman argues the GOP is 'pro-COVID' and is trying to 'keep the pandemic going' https://t.co/W0sWwvmRvv"
"JudyAmos53","@BlitchyBee The vaccine is not experimental. Go peddle your anti vacc rhetoric somewhere else."
"DanBeerens","â€œHow can the anti-vaccine ideals of â€œmy body, my choiceâ€ Republicanism â€” which refuses even the easiest and safest sacrifices to protect the life of a neighbor â€” coexist with a â€œculture of lifeâ€?â€ Indeed. https://t.co/Q5OpPA1MqI"
"1111winningf","@ausllewellyn @piersmorgan So youâ€™re telling us that your son has never had a vaccination in his life? (anti-vaxxer) Or perhaps he has done a bit of research and decided to decline this particular experimental vaccine? Wise lad, if you ask me!"
"fool_village","@youseepeeYYC @Yogaforthat @CTVNews Are the restrictions in Africa over Western countries maybe because the vaccine penetration rate is significantly lower? 

You don't have to be an Anti-Vaxxer, but you do have to be able to obtain the vaccine. <U+0001F644>

https://t.co/RzibMK8s6s"
"a_picazo","""For months, priests all around Greece have been sabotaging the vaccination campaign by urging their flock not to get the vaccine in their weekly sermon and even refusing entry to church-goers who are vaccinated or masked."" 

Then they started to die. https://t.co/R3R5oUwpr2"
"EdwinaScott2009","I raised my children in a So. Baptist church. I changed to a Presbyterian but no longer attend. My un-vaccinated adult daughter goes to a non-denominational, anti-vaccine church. Since covid we've only been together less than 10x's. She masks but it worries me.  In a quandry."
"tweet1hz","@Matthew__Andrus @StaunchInBoston @Jim_Jordan When a study conflicts the overwhelming evidence it doesn't matter except to antivax kooks who are cool with ignoring overwhelming evidence. I don't give anti-vaxxers ammunition by *TELLING PEOPLE A VACCINE DOESNT REDUCE TRANSMISSION WHEN IT DOES*.  ffs."
"_xHalox_","@acesevIgi @ysIdoII @rosesforjoy All he said was that he was scared of the side effects of the vaccine and also said that he tried getting the vaccine but couldn't cuz it wasn't available at the time idk how that equals to being anti vaxx?? He is vaccinated now"
"janaddys","my bestfriend wants to go to the sour nyc concert w me but her mom is anti covid vax so she canâ€™t get the vaccine im raging rn. so close yet so far. iâ€™ll find someone to go with or iâ€™m forcing my mom to go w me LMFAOO https://t.co/q94xoRwbiu"
"MotherCabriniNY","Interesting. South Africa has plenty of vaccine on hand. People don't wish to take it. 
https://t.co/3sqar2uTyF"
"NappaNam","@ScoopB @KyrieIrving @BallySports This dude is capping hard.  First he was voice for voiceless, then anti mandate, now he's admitting he doesn't know the risks of the vaccine, now he wants a vegan friendly vaccine.  Next it'll be gluten free and made from organic plants harvested by black farm owners. He's lazy"
"malekkarim2","Let's check what's going know on a Facebook anti vax group #covid19 #vaccine https://t.co/w20wqAPGzv"
"VeijoVaiste","@unrealsgc @TheoFleury14 ""Looking for anti mask or anti vaccine sympathy or encouragement? Look somewhere else. All youâ€™ll get here is blocked.""

This maniac thinks he's making world a better place by blocking people. Like someone cares! https://t.co/DgZBjDAoCr"
"CalemJohnSmith","Just cause I haven't had the vaccine yet, doesn't make me an anti vaxxer. Stop spreading hate pls k thx bai. https://t.co/jMvCANxdMX"
"jaysimmo3","@xr_lucas @pinelime85 @christoscot @9NewsMelb @AyrtonWoolley Lastly, here's an olde anti-vaxx poster, saying the same shite they recycle for *every* new vaccine.<U+0001F971>Your first time at the anti-vaxx rodeo, ah?<U+0001F602>Btw. you do realise your body still has antibodies from OMG!!! a range of vaccinations that you had as a child &amp; teen. <U+0001F631> https://t.co/iTFzr0oJlx"
"Kevin_Matthews_","Wow. @NPR is often wrong on specialish Western issues like #timber &amp; #rangelands, &amp; wobbly on #climatesolitions. 

But platforming #RogerStone &amp; an #antivax huckster with horse-race coverage in mid-#pandemic?? 

OMG  <U+0001F926><U+200D><U+2642><U+FE0F>

#newlow #npr #journafail https://t.co/H5Bxh7CuyE"
"E_Hughes8","Most of the people who are â€œanti-vaccineâ€ are really just anti-forced vaccine. Debate a wall about the vaccine itself but nobody should have to sacrifice their livelihood and lose all of their freedoms and liberties just because they donâ€™t want to take it."
"wjjaap","@piersmorgan @piersmorgan has definitely lost the plot. Calling for hatred and division in a free country? You donâ€™t have to be anti vaccine to refuse the Pfizer, your mate Bill Gates funded offering. How dare you liken people who CHOOSE not to be vaccinated as cowards spreading disease."
"EliminatetheGop","How anti-vaccine activists and the GOP are growing closer https://t.co/CJggXSLdEu"
"TheTwinGardener","Inside the growing alliance between anti-vaccine activists and pro-Trump Republicans - NPR https://t.co/NqiusruvpH"
"Mosislak1","@DominikMusiol @mcyg323 @Fishticon2 @noronorand @ReutersFacts He waits to take the vaccine until itâ€™s available for his age cohort = vaccines arenâ€™t safe.
He skips the line and takes it before everyone else = accusations of elitism

Gotta love anti-vaxxers playing dumb"
"Mosislak1","@ReutersFacts He waits to take the vaccine until itâ€™s available for his age cohort = vaccines arenâ€™t safe.
He skips the line and takes it before everyone else = accusations of elitism

Gotta love anti-vaxxers playing dumb"
"tmr0618","@audaciouslyfat Oh, I am so sorry to see this, but I do think you are right, the anti-vaccine folks are not all out about it. We learned it too with family that shocked us."
"HenryJKraven","Pusher of misinformation about Covid-19...
https://t.co/x0j0XpbEYx"
"HenryJKraven","@TheVillTeeMan There's little point in being angry with the dead ones, we should be angry with those pushing misinformation, these people not their sheep. ""Founder and CEO of Christian evangelical network Daystar dies of COVID after proselytizing against vaccines.""https://t.co/x0j0XpbEYx"
"VippusaO","Molly: We still have people in the south dying in large numbers because they refuse to take the vaccine and I think itâ€™s because people like Joe Rogan see these anti-vaxxers as easy marksâ€¦ https://t.co/9M3jkGeghe 04"
"VippusaO","Molly: We still have people in the south dying in large numbers because they refuse to take the vaccine and I think itâ€™s because people like Joe Rogan see these anti-vaxxers as easy marksâ€¦ https://t.co/9M3jkGeghe 01"
"k8sl8on","@joefrankly @HeatherHabanero @FiatHedge @RealCandaceO Please stop trying to throw Covid conspiracy theories... I'm not interested.  It's amazing how fast this anti-vaccine, mainstream medicine bravado fades, when someone can't breathe."
"SanhoTree","â€œThe day before Eric Trump's speech, a homeopathic doctor named Edward Group stood on the same stage &amp; suggested to the audience they should drink their urine as an alternative to getting vaccinated against COVID-19.â€ Trumps love golden showers.
 https://t.co/FSf81UjlWy"
"SoundVU","Anti-vaxxers would literally take all this, and condemn Big Pharma, rather than just take the #vaccine. <U+0001F921> https://t.co/ByXwzmOzJ4"
"ReflectingMan","An Angry Mob of Anti-Vaccine Extremists Swarmed a Childrenâ€™s Toy Store in the West EdmontonÂ Mall, Alberta. https://t.co/kgMg9Actjz"
"johnvoelcker","""Populism, a political expression of mistrust, is correlated with vaccine hesitancy.""
https://t.co/X6mQ9820uA"
"mmmfiber","â€œCatering to anti-vaccine hysteria, doing all they can to keep the pandemic going, has become something Republicans do to remain in good standing within the partyâ€ 
 https://t.co/YB9bz1tSAw"
"mmmfiber","The Right Wants to Freedom Us to Death https://t.co/VQY28uNq4G"
"mmmfiber","@Jim_Jordan GOP is 'pro-COVID' and is trying to 'keep the pandemic going'
https://t.co/YB9bz1tSAw"
"dan_southard","@therealelaine00 @zena0214 @ApprtionMission That's a true story. If they are hardcore vaccine pushing Dr's they seem like they want to make an example of you as an Unvaccinated person that died from covid 19 as an anti-vaxxer. Hypocritical oath is a thing of the past it seems. <U+0001F64F> <U+0001F199>"
"lillybell2005","Paul Krugman argues the GOP is 'pro-COVID' and is trying to 'keep the pandemic going' #SmartNews  https://t.co/doFT7lXxRF"
"TencicFred","@PhilBrown62 If we told the entire nation that there was an anti-stupidity vaccine, 44% would not take it....."
"BigkrissDudley","@DejaVu415 Doesnâ€™t being triple jabbed and wanting everyone else to get jabbed and mask up, mean they have no faith in the vaccine. <U+0001F937><U+200D><U+2642><U+FE0F><U+0001F923> 
 They donâ€™t believe in their jibady jab.. Which ultimately makes the jabbed..  anti-vaxers. 
  Now thereâ€™s something to digest <U+0001F923><U+0001F923><U+0001F973><U+0001F973>"
"dyatlovassincdt","My 'I am NOT an ""anti vaxxer""' bio is raising many questions already answered by my tweets about ""Medical Apartheid"" and demands to ""bring back"" a vaccine that was never available here https://t.co/gMidyBu29c"
"PerformPukeko","This is #domesticterrorism they are making people fearful.  Scum of the earth. Fire them from their jobs and/or take away their benefits (yep!!) I imean that.  https://t.co/V4NLSuRu3v"
"SeeTheTruth101","@Scotsman55 @DailyMailUK No, CDC, hospitals, covid hot spots. Republicans push anti vaccine propaganda. Republican states have the highest covid cases and highest deaths due to covid. People vaccinated can catch covid but have Mild symptoms and normally do not die"
"SeeTheTruth101","@GovRonDeSantis So do covid deaths . Ron DeSatan and his incompetence leadership has killed more Florida people than died in the Vietnam war. Over 60,000 dead in Florida most republican anti vaccine people."
"SeeTheTruth101","@Scotsman55 @DailyMailUK I am so sick and tired of stupid ruining this country. Anti-VAX orâ€˜s only do it because itâ€™s political. So yeah if youâ€™re anti-vaccine you shouldnâ€™t go to the hospital when you get sick stay at home eat your horse deworming medicine and deal with it stop taking up beds in hospita"
"SeeTheTruth101","@Scotsman55 @DailyMailUK Lmfao, stop watching fox you fool, and we shouldnâ€™t let anti vaccine people into the hospitals."
"SeeTheTruth101","@DailyMailUK Am ops moment. Stop letting these anti vaccine people destroy our healthcare system."
"SeeTheTruth101","@Scotsman55 @DailyMailUK Well you are a very lucky . Republicans/ anti vaccine people were dying at 1500 a day here in the good old kkkUSA due to republicans pushing anti vaccine propaganda."
"SeeTheTruth101","@Scotsman55 @DailyMailUK Lol, you got the wrong definition for the wrong party. Everyone has been getting vaccinated since you were a little baby All throughout your adult life. So now all of a sudden youâ€™re anti-vaccine because what is political and itâ€™s the Republicans not Democrats"
"cillianshoe","i already think lowly of this dude and now i find out he's spreading anti-vaccine misinformation? and he's a stem major?? LOLLL"
"Shelly69839779","@jerismurfturf @imavoodoll I can't figure out why mask mandates were dropped. Did they actually think anti vaxxers who refused to mask before the vaccine were going to be trusted to wear a mask afterward??
They are also the ones creating fake vaccine cards.
Ridiculous."
"PattonCarter","@pcook102 @rick_pittman @jilicious Who cares if it doesnâ€™t fit anti-vaxxersâ€™ strict definition of a vaccine. Things evolve. Static solutions donâ€™t work well with fluid situations."
"CTrevino1982","@USADontComply Hitler was anti-vaccine mandate.  He viewed people dying by disease as thinning out the weak.  He banned using vaccines on the ""undesirables"".  You sound like a moron when you claim history is repeating when Germany is doing the opposite of Hitler."
"50s_mom","@Kevin84425327 @emadguirguismd They are not necessarily fake. They are also not data. They are self-reported, and anti-vaccine groups have been encouraging members to falsify reports for YEARS. THIS IS NOT NEW."
"MsKatieKurtz","Had an idle thought today while once again trying to follow the logic of anti-vaxxers to its extreme ends and yep - they are refusing life-saving transfusions from vaccinated people. 

https://t.co/sdCBIDOXpv"
"rojawi","@Sen_JoeManchin Don't vote for GOP's anti-mandate bill. Vaccine mandates save lives and ARE constitutional. Banks, airlines, manufacturers, schools and sports teams are implementing them. #BidenDelivers Don't be an a$$. https://t.co/rK2uhLLbk3"
"JS3200","@RepMTG People donâ€™t want to harm you because of media spin, itâ€™s because you stalk victims of school shootings, pedal in conspiracy theories, cause death through anti-vaccine rhetoric, and try to overthrow legitimate elections. Not at all the same as calling a colleague a terrorist."
"BConn39","@AlanBixter And has repeatedly refused to sanction MPs for amplifying anti Covid anti vaccine and generally false and misleading information. 
Why is that? I am incredulous that we have a PM who hasnâ€™t called them out until public outcry has forced a very watered down telling off."
"EdaMagician","@AntifaRioter Oh yeah we play y'all in Washington next season. I would go if it wasn't for covid. I'm pretty sure it will still be around with all of these anti mask anti-vaccine spreaders"
"nolalover2","@mercedesschlapp The rights voters are dying by the rights hand of misinformation and anti-vaccine propaganda!!! <U+0001F602><U+0001F602><U+0001F602><U+0001F602><U+0001F602> https://t.co/WChiCLdJ2v"
"WanitaR","@MarkHubbard33 Was all good until water was mandated! Canâ€™t protest that, as your looked at as an anti vaccine"
"mcspocky","How can a type of vaccine that has had 30 years of research, and now has been used successfully on millions of people still be an experimental vaccine?

Asking for another clueless anti-vaxxer. <U+0001F644>"
"DemonQueenErin","You can always tell someoneâ€™s an anti-vaxxer by whether or not they use the word â€œjabâ€ vs. â€œvaccineâ€ or â€œinjectionâ€"
"klkolz","Paul Krugman argues the GOP is 'pro-COVID' and is trying to 'keep the pandemic going' - https://t.co/d8whqp4IV9 https://t.co/CM3XD9I5vp"
"Needtoresist","@brad_dickson Exactly. Somehow anti-vaxers  all seem to know several people that died from the vaccine yet I donâ€™t know anybody that has died nor do any  of my vaccinated friends, family , acquaintances, FB friends etc."
"finney1964","@DFL_tyler @CDCarter13 So what, he's still an anti-vaxxer. Clapton has been spouting Covid vaccine misinformation over the past year and he been helping to bankroll the fringe group of anti-vaxx musicians Jam for Freedom. Not a good way to use his platform."
"ModelAyshaMirza","This movie is so important. 

I really hope the anti-vaccine crowd decides to watch it and see what we went through in the hospitals of NYC when the pandemic began. To know what it meant to see and feel (now preventable) death. 

Thank you for this @esquire. Watch @FirstWaveFilm. https://t.co/fdjMSxAkLs"
"ashlandJohn","One misinformation campaign has found its perfect bed partner: How anti-vaccine activists and the GOP are growing closer.

https://t.co/3bxmbZSONd"
"Stephen_Agnew","@Hcorrao123Henry Sadly too many anti-vaxxers who didnâ€™t get the vaccine. https://t.co/9UCFFsrIJI"
"Stephen_Agnew","@DarrenZhou93 @katstillhere All false. Athletes are not dropping off of the field, and thereâ€™s zero evidence connecting stillbirths with the vaccine.

Youâ€™ve been suckered into believing a reality that doesnâ€™t exist. Youâ€™re believing a delusion based off of a belief in anti-vaccine. Thatâ€™s called a cult."
"chipsandgist","Not every one who hasnâ€™t or refuses to take the vaccine is die hard anti vax but a certain type of liberal simply refuses to believe there are any other ways you can reach such people including straight up paying them. Either way, aluta continua"
"StarLord35","Amazing reporting by @jimmy_dore
Liberals Attack Trevor Noah as ANTI-VAXXER!!
#MondayMotivation #COVID19 #antivaxxers #vaccine #VaccineMandate #CovidVaccine #Covid_19 #VaccineSideEffects #COVID #Tuesday #tuesdaymotivations #TuesdayFeeling #wednesdaythought #Wednesday #vaccination https://t.co/G1546fHXXI"
"shannonpareil","a bonkers set of stories from my colleague @gbrumfiel on the growing alliance btw antivaxxers &amp; the GOP â€” and how itâ€™s showing up in higher COVID death rates in counties that went heavily for Trump in 2020

https://t.co/tkcZxoRjC4

https://t.co/mK3bl1tRR0"
"couriermail","Police are searching for an anti-vaxxer who allegedly assaulted a Melbourne bookstore worker over vaccine mandates. https://t.co/K29lqthExJ https://t.co/FuTdgFJF7z"
"grogy_llisse","IM GONNA GET MY SECOND DOSE OF ANTI RABIS jk my covid vaccine <U+263A><U+FE0F> My first dose almost k worded me so I feel like this is it /j"
"WichitaJoe","The merger of Q, Evangelical treatments &amp; Right wing politics. God help us!
Inside the growing alliance between anti-vaccine activists and pro-Trump Republicans https://t.co/mzoVGpnpKc"
"KapacilaDeena","Between Jeremyâ€™s partisan Leg cops and the Premier making personal calls to an anti-vaccine organizer, and the CEO of the health authority resigningâ€¦ itâ€™s been a wild week in SK. <U+0001F643> #skpoli  https://t.co/AsFn2CMAdW"
"Amanda_ERLPN","Hey! @jkenney @CMOH_Alberta @JasonCoppingAB wtf. Why canâ€™t we be like Nova Scotia?!? Instead you pander to the anti-vaccine group and we are facing a 5th wave. https://t.co/YGPv63yuJX"
"Amanda_ERLPN","Edmonton parents! Avoid these vaccine sites and times if you can. Anti vaxxers will be protesting. Hey @BenitaPedersen get a real job and fuck off already. https://t.co/0rMJ34Kk5W"
"AlbertSTartagl1","@jimiuorio I got called an anti vaxer even though I'm in a covid vaccine study because I said people should eat healthier and exercise. So who knows what is science today anymore <U+0001F923><U+0001F923>"
"anti_plasticbag","@naomi_long @JohnBlairMLA @allianceparty I admire your support for animal welfare but I cannot vote for you (next time ) or alliance party while you support vaccine passports. Shame on many levels on many MLAâ€™s <U+0001F937><U+0001F3FB><U+200D><U+2640><U+FE0F> #BanFoxHunting #NoVaccinePassports"
"tlu306","@Carlainsask @PremierScottMoe This makes me want to vomit. This antivaxer bragging Scott Moe phoned her and they talked for over an hour. How nice!!!!! How about you talk to some of us who are affected by anti vaxxers refusing to get the vaccine and crashing our healthcare system. Iâ€™ll tell you how I feel."
"cseguin03","@mlstrat I think itâ€™s largely anti-science and belief in conspiracy theories. Thatâ€™s 100% of the people I know who are anti-vax (which is, sadly, a lot). They get their flu vaccine."
"BuWeJaDa","@TrumpJew2 Kimâ€™s the perfect running mate. A Trump supporter through and through who is strongly pro-life and 2nd Amendment. She also is anti mask and vaccine mandates. Sheâ€™s a female DeSantis."
"Trader4Day","@SharynPowell10 @mogg67 @SAHealth You read to much BS about vaccine issues.
Most in hospital would have had those issues anyway despite the vaccine. 
Anti-vaxxer's like to link things and manipulate reports.
Why isn't these hospital cases all over the news?
Cos the vax isn't related to their actual illness"
